,Istasyon_No,Istasyon_Adi,YIL,AY,GUN,SAAT,SICAKLIK_°C
24206,18046,ÇANKAYA/TBMM,2016.0,1.0,7.0,2.0,7.7
24207,18046,ÇANKAYA/TBMM,2016.0,1.0,7.0,3.0,7.5
24208,18046,ÇANKAYA/TBMM,2016.0,1.0,7.0,4.0,9.6
24209,18046,ÇANKAYA/TBMM,2016.0,1.0,7.0,5.0,10.0
24210,18046,ÇANKAYA/TBMM,2016.0,1.0,7.0,6.0,10.2
24211,18046,ÇANKAYA/TBMM,2016.0,1.0,7.0,7.0,9.8
24212,18046,ÇANKAYA/TBMM,2016.0,1.0,7.0,8.0,9.4
24213,18046,ÇANKAYA/TBMM,2016.0,1.0,7.0,9.0,8.5
24214,18046,ÇANKAYA/TBMM,2016.0,1.0,7.0,10.0,8.3
24215,18046,ÇANKAYA/TBMM,2016.0,1.0,7.0,11.0,9.9
24216,18046,ÇANKAYA/TBMM,2016.0,1.0,7.0,12.0,10.2
24217,18046,ÇANKAYA/TBMM,2016.0,1.0,7.0,13.0,10.3
24218,18046,ÇANKAYA/TBMM,2016.0,1.0,7.0,14.0,10.0
24219,18046,ÇANKAYA/TBMM,2016.0,1.0,7.0,15.0,9.5
24220,18046,ÇANKAYA/TBMM,2016.0,1.0,7.0,16.0,8.4
24221,18046,ÇANKAYA/TBMM,2016.0,1.0,7.0,17.0,8.2
24222,18046,ÇANKAYA/TBMM,2016.0,1.0,7.0,18.0,6.5
24223,18046,ÇANKAYA/TBMM,2016.0,1.0,7.0,19.0,7.1
24224,18046,ÇANKAYA/TBMM,2016.0,1.0,7.0,20.0,5.5
24225,18046,ÇANKAYA/TBMM,2016.0,1.0,7.0,21.0,3.8
24226,18046,ÇANKAYA/TBMM,2016.0,1.0,7.0,22.0,3.1
24227,18046,ÇANKAYA/TBMM,2016.0,1.0,7.0,23.0,3.2
24228,18046,ÇANKAYA/TBMM,2016.0,1.0,8.0,0.0,3.0
24229,18046,ÇANKAYA/TBMM,2016.0,1.0,8.0,1.0,3.0
24230,18046,ÇANKAYA/TBMM,2016.0,1.0,8.0,2.0,2.8
24231,18046,ÇANKAYA/TBMM,2016.0,1.0,8.0,3.0,2.3
24232,18046,ÇANKAYA/TBMM,2016.0,1.0,8.0,4.0,2.0
24233,18046,ÇANKAYA/TBMM,2016.0,1.0,8.0,5.0,1.9
24234,18046,ÇANKAYA/TBMM,2016.0,1.0,8.0,6.0,1.9
24235,18046,ÇANKAYA/TBMM,2016.0,1.0,8.0,7.0,2.2
24236,18046,ÇANKAYA/TBMM,2016.0,1.0,8.0,8.0,2.1
24237,18046,ÇANKAYA/TBMM,2016.0,1.0,8.0,9.0,2.2
24238,18046,ÇANKAYA/TBMM,2016.0,1.0,8.0,10.0,2.4
24239,18046,ÇANKAYA/TBMM,2016.0,1.0,8.0,11.0,2.6
24240,18046,ÇANKAYA/TBMM,2016.0,1.0,8.0,12.0,3.0
24241,18046,ÇANKAYA/TBMM,2016.0,1.0,8.0,13.0,2.4
24242,18046,ÇANKAYA/TBMM,2016.0,1.0,8.0,14.0,2.4
24243,18046,ÇANKAYA/TBMM,2016.0,1.0,8.0,15.0,1.8
24244,18046,ÇANKAYA/TBMM,2016.0,1.0,8.0,16.0,1.3
24245,18046,ÇANKAYA/TBMM,2016.0,1.0,8.0,17.0,0.5
24246,18046,ÇANKAYA/TBMM,2016.0,1.0,8.0,18.0,0.8
24247,18046,ÇANKAYA/TBMM,2016.0,1.0,8.0,19.0,0.7
24248,18046,ÇANKAYA/TBMM,2016.0,1.0,8.0,20.0,0.7
24249,18046,ÇANKAYA/TBMM,2016.0,1.0,8.0,21.0,0.6
24250,18046,ÇANKAYA/TBMM,2016.0,1.0,8.0,22.0,0.6
24251,18046,ÇANKAYA/TBMM,2016.0,1.0,8.0,23.0,0.4
24252,18046,ÇANKAYA/TBMM,2016.0,1.0,9.0,0.0,0.6
24253,18046,ÇANKAYA/TBMM,2016.0,1.0,9.0,1.0,0.4
24254,18046,ÇANKAYA/TBMM,2016.0,1.0,9.0,2.0,0.3
24255,18046,ÇANKAYA/TBMM,2016.0,1.0,9.0,3.0,-0.4
24256,18046,ÇANKAYA/TBMM,2016.0,1.0,9.0,4.0,-0.9
24257,18046,ÇANKAYA/TBMM,2016.0,1.0,9.0,5.0,-1.9
24258,18046,ÇANKAYA/TBMM,2016.0,1.0,9.0,6.0,-1.2
24259,18046,ÇANKAYA/TBMM,2016.0,1.0,9.0,7.0,0.3
24260,18046,ÇANKAYA/TBMM,2016.0,1.0,9.0,8.0,3.2
24261,18046,ÇANKAYA/TBMM,2016.0,1.0,9.0,9.0,2.9
24262,18046,ÇANKAYA/TBMM,2016.0,1.0,9.0,10.0,2.9
24263,18046,ÇANKAYA/TBMM,2016.0,1.0,9.0,11.0,4.1
24264,18046,ÇANKAYA/TBMM,2016.0,1.0,9.0,12.0,4.2
24265,18046,ÇANKAYA/TBMM,2016.0,1.0,9.0,13.0,4.5
24266,18046,ÇANKAYA/TBMM,2016.0,1.0,9.0,14.0,3.3
24267,18046,ÇANKAYA/TBMM,2016.0,1.0,9.0,15.0,1.6
24268,18046,ÇANKAYA/TBMM,2016.0,1.0,9.0,16.0,0.8
24269,18046,ÇANKAYA/TBMM,2016.0,1.0,9.0,17.0,1.6
24270,18046,ÇANKAYA/TBMM,2016.0,1.0,9.0,18.0,1.3
24271,18046,ÇANKAYA/TBMM,2016.0,1.0,9.0,19.0,1.3
24272,18046,ÇANKAYA/TBMM,2016.0,1.0,9.0,20.0,1.1
24273,18046,ÇANKAYA/TBMM,2016.0,1.0,9.0,21.0,0.3
24274,18046,ÇANKAYA/TBMM,2016.0,1.0,9.0,22.0,-0.6
