Date,Open,High,Low,Close,Adj Close,Volume
2017-12-25,3.810100,3.815200,3.804970,3.809700,3.809700,0
2017-12-26,3.806600,3.817060,3.797050,3.806400,3.806400,0
2017-12-27,3.807200,3.827000,3.804500,3.807020,3.807020,0
2017-12-28,3.814150,3.824040,3.764300,3.814900,3.814900,0
2017-12-29,3.775390,3.796950,3.766800,3.776860,3.776860,0
2018-01-01,3.794900,3.794900,3.789000,3.794900,3.794900,0
2018-01-02,3.791300,3.791300,3.752900,3.791100,3.791100,0
2018-01-03,3.765400,3.778660,3.755500,3.765600,3.765600,0
2018-01-04,3.780800,3.784800,3.745370,3.780600,3.780600,0
2018-01-05,3.749630,3.759210,3.730500,3.750270,3.750270,0
2018-01-08,3.733080,3.755940,3.731500,3.732350,3.732350,0
2018-01-09,3.743600,3.778290,3.739700,3.743900,3.743900,0
2018-01-10,3.768320,3.805720,3.765280,3.768420,3.768420,0
2018-01-11,3.797470,3.805550,3.773600,3.798700,3.798700,0
2018-01-12,3.773740,3.781710,3.748700,3.773550,3.773550,0
2018-01-15,3.755200,3.802450,3.746050,3.751560,3.751560,0
2018-01-16,3.800440,3.831620,3.785000,3.799970,3.799970,0
2018-01-17,3.799400,3.831640,3.793400,3.798670,3.798670,0
2018-01-18,3.816200,3.819880,3.763900,3.815170,3.815170,0
2018-01-19,3.765500,3.816330,3.759850,3.765480,3.765480,0
2018-01-22,3.827000,3.831730,3.771800,3.823230,3.823230,0
2018-01-23,3.776600,3.802360,3.766900,3.776500,3.776500,0
2018-01-24,3.767900,3.773410,3.732500,3.768200,3.768200,0
2018-01-25,3.749990,3.754790,3.716300,3.749400,3.749400,0
2018-01-26,3.759300,3.762950,3.728400,3.759680,3.759680,0
2018-01-29,3.750720,3.792540,3.750240,3.749980,3.749980,0
2018-01-30,3.785970,3.798740,3.762570,3.786400,3.786400,0
2018-01-31,3.777480,3.780600,3.744400,3.775720,3.775720,0
2018-02-01,3.756500,3.771250,3.731300,3.756300,3.756300,0
2018-02-02,3.733300,3.773670,3.733270,3.733700,3.733700,0
2018-02-05,3.771900,3.774390,3.755000,3.771900,3.771900,0
2018-02-06,3.786500,3.794820,3.769030,3.786700,3.786700,0
2018-02-07,3.767600,3.791230,3.762960,3.764710,3.764710,0
2018-02-08,3.803330,3.834020,3.791800,3.802500,3.802500,0
2018-02-09,3.822360,3.831740,3.809300,3.822620,3.822620,0
2018-02-12,3.816600,3.817950,3.799360,3.816750,3.816750,0
2018-02-13,3.798200,3.809830,3.791000,3.797660,3.797660,0
2018-02-14,3.804710,3.821680,3.781980,3.804800,3.804800,0
2018-02-15,3.779260,3.784300,3.764800,3.779730,3.779730,0
2018-02-16,3.763850,3.773070,3.737400,3.764600,3.764600,0
2018-02-19,3.747740,3.762150,3.745990,3.746850,3.746850,0
2018-02-20,3.758100,3.811250,3.757600,3.758190,3.758190,0
2018-02-21,3.797800,3.807920,3.780900,3.797800,3.797800,0
2018-02-22,3.791940,3.808930,3.779700,3.791860,3.791860,0
2018-02-23,3.782300,3.793980,3.778500,3.782400,3.782400,0
2018-02-26,3.787840,3.791250,3.775700,3.787840,3.787840,0
2018-02-27,3.785700,3.813220,3.781100,3.785090,3.785090,0
2018-02-28,3.815200,3.815620,3.796900,3.815200,3.815200,0
2018-03-01,3.802900,3.819540,3.799800,3.802900,3.802900,0
2018-03-02,3.809450,3.824290,3.803000,3.807700,3.807700,0
2018-03-05,3.809660,3.828000,3.808140,3.810100,3.810100,0
2018-03-06,3.810600,3.812850,3.786900,3.810600,3.810600,0
2018-03-07,3.797260,3.808350,3.791600,3.798800,3.798800,0
2018-03-08,3.807040,3.826020,3.801720,3.806290,3.806290,0
2018-03-09,3.822640,3.827880,3.806340,3.823500,3.823500,0
2018-03-12,3.810900,3.844620,3.806300,3.812000,3.812000,0
2018-03-13,3.843400,3.872540,3.835500,3.842700,3.842700,0
2018-03-14,3.870000,3.893720,3.855600,3.869900,3.869900,0
2018-03-15,3.880770,3.904460,3.876220,3.880300,3.880300,0
2018-03-16,3.894100,3.925800,3.889200,3.893540,3.893540,0
2018-03-19,3.920440,3.951770,3.920150,3.918300,3.918300,0
2018-03-20,3.944050,3.950200,3.922400,3.943290,3.943290,0
2018-03-21,3.931780,3.937200,3.920100,3.932150,3.932150,0
2018-03-22,3.909500,3.940850,3.898900,3.908770,3.908770,0
2018-03-23,3.975710,3.976500,3.954600,3.973880,3.973880,0
2018-03-26,3.981770,3.995200,3.956130,3.981400,3.981400,0
2018-03-27,3.965000,3.996430,3.961300,3.965500,3.965500,0
2018-03-28,3.979310,4.013610,3.978200,3.979180,3.979180,0
2018-03-29,4.012400,4.015690,3.958110,4.013300,4.013300,0
2018-03-30,3.944800,3.960950,3.940650,3.944900,3.944900,0
2018-04-02,3.952100,3.979230,3.944500,3.951840,3.951840,0
2018-04-03,3.979600,3.993200,3.970340,3.977100,3.977100,0
2018-04-04,3.989710,4.026390,3.984730,3.989350,3.989350,0
2018-04-05,3.999600,4.045850,3.996400,3.999110,3.999110,0
2018-04-06,4.044400,4.066080,4.030200,4.039410,4.039410,0
2018-04-09,4.048200,4.075150,4.035650,4.047100,4.047100,0
2018-04-10,4.075800,4.138690,4.054500,4.075500,4.075500,0
2018-04-11,4.109610,4.192930,4.106700,4.109550,4.109550,0
2018-04-12,4.140800,4.158870,4.084800,4.140800,4.140800,0
2018-04-13,4.113960,4.115880,4.071700,4.114020,4.114020,0
2018-04-16,4.092200,4.116020,4.085000,4.090790,4.090790,0
2018-04-17,4.095320,4.126430,4.073500,4.093000,4.093000,0
2018-04-18,4.092900,4.107720,4.019290,4.093090,4.093090,0
2018-04-19,4.017100,4.045530,4.011000,4.017000,4.017000,0
2018-04-20,4.045980,4.071030,4.028300,4.045820,4.045820,0
2018-04-23,4.078540,4.109700,4.060200,4.078500,4.078500,0
2018-04-24,4.107700,4.111000,4.078500,4.107700,4.107700,0
2018-04-25,4.086060,4.106600,4.039170,4.086480,4.086480,0
2018-04-26,4.081300,4.085290,4.058200,4.081100,4.081100,0
2018-04-27,4.068910,4.078980,4.039990,4.065870,4.065870,0
2018-04-30,4.051700,4.066670,4.029800,4.051660,4.051660,0
